Panel B: Determinants of eff_vat_s2 (CEI x milieu);;;;
;;;;
;-1;-2;-3;-4
;M1;M2;M3;M4
;;;;
lconso_w;0.0044***;0.0077***;-0.0059***;-0.0007
;(0.0008);(0.0011);(0.0005);(0.0007)
;;;;
hhsize;;-0.0029***;-0.0011***;-0.0011***
;;(0.0002);(0.0001);(0.0001)
;;;;
head_female;;0.0023***;-0.0036***;-0.0029***
;;(0.0008);(0.0006);(0.0005)
;;;;
educ_high;;0.0076***;0.0023***;0.0026***
;;(0.0011);(0.0006);(0.0006)
;;;;
urban;;;0.0297***;0.0298***
;;;(0.0005);(0.0005)
;;;;
n_items;;;;-0.0002***
;;;;(0.0000)
;;;;
_cons;-0.0061;-0.0418***;0.1385***;0.0747***
;(0.0107);(0.0139);(0.0068);(0.0083)
;;;;
N;12965.0000;12964.0000;12964.0000;12964.0000
R2;0.0209;0.1803;0.6298;0.6411
R2 adj.;0.0209;0.1800;0.6287;0.6401
;;;;
Cluster-robust SE at grappe level. Survey weights.;;;;
"=""* p<0.10"; ** p<0.05;" *** p<0.01""";;
