"exhibit","manuscript_label","output","producer","producer_line","verification"
"Tableau variables du questionnaire","tab:variables-questionnaire","00_documentation/working_paper/DT_CEQ_CIV2021.pdf","00_documentation/working_paper/DT_CEQ_CIV2021.tex","303","lecture croisée questionnaire-code"
"Tableau descriptif","tab:descriptif","07_reports/tables/16/16_08_sample_description.xlsx","05_scripts_R/16_direct_taxes.R","860","contrôle source et effectifs"
"Tableau lexique","tab:lexique","00_documentation/working_paper/DT_CEQ_CIV2021.pdf","00_documentation/working_paper/DT_CEQ_CIV2021.tex","415","compilation LaTeX"
"Tableau scénarios TVA","tab:vat-scenarios","07_reports/tables/06/06_01_ceq_summary_scenarios.xlsx; 07_reports/tables/06/06_01_bootstrap_kakwani.xlsx","05_scripts_R/06_01_sensitivity_taxation.R","301","masses et intervalles"
"Tableau pauvreté TVA","tab:fgt-io","07_reports/tables/14/14_01_fgt_comparison.xlsx","05_scripts_R/14_leontief_poverty.R","215","contrôle métrique"
"Tableau robustesse IO et droit à déduction","tab:io-robustness","07_reports/tables/14/14_02_matrix_robustness.xlsx; 07_reports/tables/13/13_07_legal_deduction_sensitivity.xlsx","05_scripts_R/13b_leontief_local_io.R","419","contrôle métrique et source"
"Tableau accises et douane","tab:other-indirect","07_reports/tables/17/17_03_kakwani_inference.xlsx","05_scripts_R/17_indirect_other.R","18","contrôle source"
"Tableau impôts directs central","tab:direct","07_reports/tables/16/16_01_irpp_by_decile.xlsx; 07_reports/tables/16/16_02_cotisations_by_decile.xlsx; 07_reports/tables/16/16_03_coverage_kakwani.xlsx","05_scripts_R/16_direct_taxes.R","43","contrôle métrique"
"Tableau scénarios impôts directs","tab:direct-scenarios","07_reports/tables/16/16_07_robustness_diagnostics.xlsx","05_scripts_R/16_direct_taxes.R","850","profils_scenarios"
"Tableau transferts et pensions","tab:transfers","07_reports/tables/18/18_03_macro_validation.xlsx; 07_reports/tables/18/18_04_pension_scenarios.xlsx","05_scripts_R/18_transfers.R","18","contrôle masses"
