metric,expected,tolerance,unit
gini_revenu_primaire,0.341420936339678,0.00005,indice
gini_revenu_final,0.316765190863857,0.00005,indice
pauvrete_revenu_primaire,0.377024719069077,0.0005,ratio
pauvrete_revenu_consommable,0.420129495384462,0.0005,ratio
pauvrete_revenu_final,0.338975273549644,0.0005,ratio
nouveaux_pauvres_pdi,0.043401549745157,0.0005,ratio
perte_fiscale_milliards,142.733076392399,0.2,milliards FCFA
gain_fiscal_milliards,9.297972516343,0.05,milliards FCFA
pssn_masse_milliards,27.108,0.001,milliards FCFA
pssn_facteur_calage,1.000738719616,0.000001,ratio
shapley_prelevements_directs,0.007045236978881,0.0000005,point de Gini
shapley_paiements_publics,0.0007169357570613,0.0000005,point de Gini
shapley_impots_indirects,0.008414804712101,0.0000005,point de Gini
shapley_reductions_prix,-0.00015690448638,0.0000005,point de Gini
shapley_education,0.006833985395037,0.0000005,point de Gini
shapley_sante,0.00180168711912,0.0000005,point de Gini
