"check","status","detail"
"manifest","PASS","manifeste lu"
"entrée: 01_data_sources/Dataout/ehcvm_conso_CIV2021.dta","PASS","md5=e2cba441599987826e8cb5ed5b208f74; octets=23652697"
"entrée: 01_data_sources/Dataout/ehcvm_individu_CIV2021.dta","PASS","md5=a12c95e5b7d8ca599d7d05e6db5b20b0; octets=5223439"
"entrée: 01_data_sources/Dataout/ehcvm_welfare_2b_CIV2021.dta","PASS","md5=edd4ca5bcb05816025e5d483f9b88855; octets=1154014"
"entrée: 01_data_sources/Datain/Menage/s02_me_CIV2021.dta","PASS","md5=a6db7708aa1cd60aa1c4ee6fc26c7f54; octets=60566650"
"entrée: 01_data_sources/Datain/Menage/s03_me_CIV2021.dta","PASS","md5=4eaae5d99e2a65fe604a600b7bed7dd6; octets=77528142"
"entrée: 01_data_sources/Datain/Menage/s04_me_CIV2021.dta","PASS","md5=3fde2734f9524658cd5ab22ba2d53b71; octets=121198989"
"entrée: 01_data_sources/Datain/Menage/s05_me_CIV2021.dta","PASS","md5=685ec9efaf49e7ebe9b116c85700aceb; octets=6148654"
"entrée: 01_data_sources/Datain/Menage/s11_me_CIV2021.dta","PASS","md5=c39e201ac613e0b72e264c4cda5583dc; octets=25250819"
"entrée: 01_data_sources/Datain/Menage/s13a_2_me_CIV2021.dta","PASS","md5=353c83e8e693f97cca9b77915d183173; octets=8759990"
"entrée: 01_data_sources/Datain/Menage/s15_me_CIV2021.dta","PASS","md5=52a0e5a965f6eaea7fe5da66796ef136; octets=121713931"
"entrée: 01_data_sources/COPR_EHCVM_TVA_renseigne.xlsx","PASS","md5=c48430437b5f72c1213c849b326c79ce; octets=66389"
"entrée: 01_data_sources/concordance_codpr_ICIO.csv","PASS","md5=cf1516c3cd8b7a39e944df1274901130; octets=17856"
"entrée: 01_data_sources/params_indirect_other_2021.xlsx","PASS","md5=31398dee35c5db4d54e6d75f89ff354c; octets=40048"
"entrée: 01_data_sources/params_transfers_2021.xlsx","PASS","md5=d0e4606d7df69cdc8d8372d4064b3400; octets=16052"
"entrée: 01_data_sources/params_subsidies_2021.xlsx","PASS","md5=d2827e4e071244b064b0a4dd8b1ff36e; octets=15383"
"entrée: 01_data_sources/params_education_2021.xlsx","PASS","md5=f84fa3dbf24523a9a36de22bd623fc98; octets=10759"
"entrée: 01_data_sources/params_health_2021.xlsx","PASS","md5=7f5c500d427d62cbaf5b712e9d0a0891; octets=10732"
"entrée: 01_data_sources/IO/CIV2020ttl.csv","PASS","md5=acb8afb995c132e71b84e060ce3a954e; octets=11282"
"entrée: 01_data_sources/IO/TRE_COURANT_2023.XLS","PASS","md5=e04f89ef233f4cf551af0e288d7831fb; octets=103424"
"entrée: 01_data_sources/IO/TRE_CONSTANT_2023.XLS","PASS","md5=f83d4308437c726125241da97a0fd0f7; octets=103424"
"bibliothèque renv restaurée","PASS","C:/Users/f.migone/Desktop/projects/actif/anstat-microsim/renv/library/windows/R-4.5/x86_64-w64-mingw32"
"version R","PASS","R version 4.5.3 (2026-03-11 ucrt) ; référence 4.5.3"
"paquet R: haven","PASS","2.5.5"
"paquet R: arrow","PASS","24.0.0"
"paquet R: dplyr","PASS","1.2.1"
"paquet R: tidyr","PASS","1.3.2"
"paquet R: tibble","PASS","3.3.1"
"paquet R: purrr","PASS","1.2.2"
"paquet R: ggplot2","PASS","4.0.3"
"paquet R: scales","PASS","1.4.0"
"paquet R: openxlsx","PASS","4.2.8.1"
"paquet R: readxl","PASS","1.4.5"
"paquet R: readr","PASS","2.2.0"
"paquet R: survey","PASS","4.5"
"paquet R: sandwich","PASS","3.1.1"
"paquet R: lmtest","PASS","0.9.40"
"paquet R: jsonlite","PASS","2.0.0"
"chemins absolus dans 05_scripts_R","PASS","aucun"
"écriture des sorties","PASS","C:/Users/f.migone/Desktop/projects/actif/anstat-microsim/replication_package/output"
"RNG","PASS","Mersenne-Twister; Inversion; Rejection"
