"check","status","observed","expected","tolerance","detail"
"07_reports/tables/25/CEQ_CIV_2021_master.xlsx","PASS",1,1,0,"présence"
"02_data_intermediate/22/all_income_concepts.parquet","PASS",1,1,0,"présence"
"02_data_intermediate/23/marginal_contributions.parquet","PASS",1,1,0,"présence"
"02_data_intermediate/24/fiscal_impoverishment.parquet","PASS",1,1,0,"présence"
"02_data_intermediate/18/transfers.parquet","PASS",1,1,0,"présence"
"07_reports/tables/18/18_02_coverage_targeting.xlsx","PASS",1,1,0,"présence"
"07_reports/tables/06/06_03_vat_informality_parameters.xlsx","PASS",1,1,0,"présence"
"07_reports/tables/13/13_07_legal_deduction_sensitivity.xlsx","PASS",1,1,0,"présence"
"07_reports/tables/16/16_07_robustness_diagnostics.xlsx","PASS",1,1,0,"présence"
"replication_package/exhibit_map.csv","PASS",1,1,0,"présence"
"carte exhibits : sorties","PASS",0,0,0,"34 sorties accessibles"
"carte exhibits : labels","PASS",0,0,0,"34 labels en parité"
"identité Y_C","PASS",0,0,1e-06,""
"identité Y_F","PASS",0,0,1e-06,""
"identité Y_P PDI","PASS",0,0,1e-06,""
"fermeture Shapley","PASS",0,0,1e-10,""
"gini_revenu_primaire","PASS",0.341420936339678,0.341420936339678,5e-05,""
"gini_revenu_final","PASS",0.316765190863857,0.316765190863857,5e-05,""
"pauvrete_revenu_primaire","PASS",0.377024719069077,0.377024719069077,5e-04,""
"pauvrete_revenu_consommable","PASS",0.420129495384462,0.420129495384462,5e-04,""
"pauvrete_revenu_final","PASS",0.338975273549644,0.338975273549644,5e-04,""
"nouveaux_pauvres_pdi","PASS",0.043401549745157,0.043401549745157,5e-04,""
"perte_fiscale_milliards","PASS",142.733076392399,142.733076392399,0.2,""
"gain_fiscal_milliards","PASS",9.29797251634274,9.297972516343,0.05,""
"pssn_masse_milliards","PASS",27.108,27.108,0.001,""
"pssn_facteur_calage","PASS",1.00073871961567,1.000738719616,1e-06,""
"shapley_prelevements_directs","PASS",0.00704523697888138,0.007045236978881,5e-07,""
"shapley_paiements_publics","PASS",0.000716935757061347,0.0007169357570613,5e-07,""
"shapley_impots_indirects","PASS",0.008414804712101,0.008414804712101,5e-07,""
"shapley_reductions_prix","PASS",-0.000156904486380027,-0.00015690448638,5e-07,""
"shapley_education","PASS",0.00683398539503717,0.006833985395037,5e-07,""
"shapley_sante","PASS",0.00180168711911985,0.00180168711912,5e-07,""
